IBM => Date: 2024-11-21 15:59:00-05:00, Open: 222.2100067138672, Moving avg: 222.37550048828126, Diff: -0.01099929809569744,  Autocor: 1.0000000007304415
MSFT => Date: 2024-11-21 15:59:00-05:00, Open: 413.1499938964844, Moving avg: 413.66597137451174, Diff: -0.01399993896484375,  Autocor: 1.0
MSFT => Date: 2024-11-21 15:59:00-05:00, Open: 413.1499938964844, Moving avg: 413.66597137451174, Diff: -0.01399993896484375,  Autocor: 1.0
IBM => Date: 2024-11-21 15:59:00-05:00, Open: 222.2100067138672, Moving avg: 222.37550048828126, Diff: -0.01099929809569744,  Autocor: 1.0000000007304415
MSFT => Date: 2024-11-21 15:59:00-05:00, Open: 413.1499938964844, Moving avg: 413.66597137451174, Diff: -0.01399993896484375,  Autocor: 1.0
IBM => Date: 2024-11-21 15:59:00-05:00, Open: 222.2100067138672, Moving avg: 222.37550048828126, Diff: -0.01099929809569744,  Autocor: 1.0000000007304415
IBM => Date: 2024-11-21 15:59:00-05:00, Open: 222.2100067138672, Moving avg: 222.37550048828126, Diff: -0.01099929809569744,  Autocor: 1.0000000007304415
MSFT => Date: 2024-11-21 15:59:00-05:00, Open: 413.1499938964844, Moving avg: 413.66597137451174, Diff: -0.01399993896484375,  Autocor: 1.0
IBM => Date: 2024-11-21 15:59:00-05:00, Open: 222.2100067138672, Moving avg: 222.37550048828126, Diff: -0.01099929809569744,  Autocor: 1.0000000007304415
MSFT => Date: 2024-11-21 15:59:00-05:00, Open: 413.1499938964844, Moving avg: 413.66597137451174, Diff: -0.01399993896484375,  Autocor: 1.0
IBM => Date: 2024-11-21 15:59:00-05:00, Open: 222.2100067138672, Moving avg: 222.37550048828126, Diff: -0.01099929809569744,  Autocor: 1.0000000007304415
IBM => Date: 2024-11-21 15:59:00-05:00, Open: 222.2100067138672, Moving avg: 222.37550048828126, Diff: -0.01099929809569744,  Autocor: 1.0000000007304415
MSFT => Date: 2024-11-21 15:59:00-05:00, Open: 413.1499938964844, Moving avg: 413.66597137451174, Diff: -0.01399993896484375,  Autocor: 1.0
IBM => Date: 2024-11-21 15:59:00-05:00, Open: 222.2100067138672, Moving avg: 222.37550048828126, Diff: -0.01099929809569744,  Autocor: 1.0000000007304415
